id;konto;text;skill;branche;word_count;character_count
SP-001;Surfers Pottery;Fürs Töpfern hätte ich gern einen Termin.;calendar;Handwerk / Töpferei;7;41
SP-002;Surfers Pottery;Den Töpfertermin verschieben wir als Idee auf später.;none;Handwerk / Töpferei;8;53
SP-003;Surfers Pottery;Ich würde das gern vor Ort besprechen. Können wir dafür einen Termin festlegen?;calendar;Handwerk / Töpferei;13;79
SP-004;Surfers Pottery;Morgen Nachmittag meinte ich meine private Verabredung. Bei Ihnen brauche ich nichts.;none;Handwerk / Töpferei;12;85
SP-005;Surfers Pottery;Ich habe morgen nach der Arbeit Zeit und würde gern zu Ihnen kommen. Schauen Sie mal, ob zwischen vier und sechs noch etwas frei ist.;calendar;Handwerk / Töpferei;25;133
SP-006;Surfers Pottery;Ich kann morgen erst nachmittags. Würden Sie nachsehen, ob dann ein Termin zum Töpfern frei ist?;calendar;Handwerk / Töpferei;16;96
SP-007;Surfers Pottery;Samstag oder Sonntag könnte ich kommen. Welche freien Termine finden Sie?;calendar;Handwerk / Töpferei;11;73
SP-008;Surfers Pottery;Wann könnte ich am Wochenende zum Töpfern vorbeilaufen? Bitte prüfen Sie freie Termine.;calendar;Handwerk / Töpferei;13;87
SP-009;Surfers Pottery;Am Wochenende wollte ich töpfern, aber inzwischen hat sich Besuch angekündigt. Deshalb möchte ich keinen Termin mehr suchen lassen. Die Planung für einen späteren Besuch übernehme ich erst einmal selbst.;none;Handwerk / Töpferei;30;203
SP-010;Surfers Pottery;Meine Freundin würde mitmachen. Wir möchten gemeinsam töpfern und dafür einen Termin buchen, haben aber noch keinen bestimmten Tag im Kopf.;calendar;Handwerk / Töpferei;21;139
SP-011;Surfers Pottery;Eine gemeinsame Buchung ist noch nicht beschlossen.;none;Handwerk / Töpferei;7;51
SP-012;Surfers Pottery;Meine Freundin und ich hätten voll Lust drauf. Mit dem Datum sind wir flexibel, aber es soll derselbe Termin sein. Helfen Sie uns bei der Buchung?;calendar;Handwerk / Töpferei;26;146
SP-013;Surfers Pottery;Mittwoch ab drei ziehe ich zurück. Suchen Sie dafür bitte keinen Termin.;none;Handwerk / Töpferei;12;72
SP-014;Surfers Pottery;Mittwoch nach drei hätte ich Zeit zum Töpfern. Prüfen Sie bitte die freien Termine.;calendar;Handwerk / Töpferei;14;83
SP-015;Surfers Pottery;Nächsten Mittwoch ab drei: Haben Sie da etwas frei?;calendar;Handwerk / Töpferei;9;51
SP-016;Surfers Pottery;Danke, wie das Töpfern abläuft, habe ich schon gelesen. Mir fehlt nur noch ein fester Termin. Den würde ich gern gleich mit Ihnen vereinbaren.;calendar;Handwerk / Töpferei;24;142
SP-017;Surfers Pottery;Über das Töpfern habe ich mich schon informiert. Jetzt würde ich gern den Tag für den Kurs auswählen.;calendar;Handwerk / Töpferei;18;101
SP-018;Surfers Pottery;Ich habe mir zwar schon alles zum Töpfern durchgelesen, bin mit meiner eigenen Planung aber noch nicht fertig. Einen Termin möchte ich heute deshalb weder suchen noch buchen lassen.;none;Handwerk / Töpferei;29;181
SP-019;Surfers Pottery;Was wäre Ihr nächster freier Termin zum Töpfern?;calendar;Handwerk / Töpferei;8;48
SP-020;Surfers Pottery;Mein Urlaub entfällt. Die Terminsuche damit auch.;none;Handwerk / Töpferei;7;49
SP-021;Surfers Pottery;Mein Urlaub beginnt bald, deshalb wäre mir ein früher Termin recht. Könnten Sie nach der nächsten freien Möglichkeit schauen? Die genaue Uhrzeit ist mir nicht wichtig.;calendar;Handwerk / Töpferei;26;167
SP-022;Surfers Pottery;Einen Moment, ich lese den Preis der Espressotasse gerade selbst auf der Liste.;none;Handwerk / Töpferei;13;79
SP-023;Surfers Pottery;In Ihrer Liste habe ich eine sandfarbene, handgedrehte Espressotasse entdeckt. Bevor ich mich entscheide, würde ich gern den Stückpreis wissen. Eine Bestellung möchte ich damit noch nicht aufgeben.;knowledge-base;Handwerk / Töpferei;28;197
SP-024;Surfers Pottery;Die handgedrehte Espressotasse in Sand interessiert mich. Welchen Preis hat sie pro Stück?;knowledge-base;Handwerk / Töpferei;13;90
SP-025;Surfers Pottery;Wie viel kostet die große, anthrazitfarbene Teekanne mit 1,2 Litern Inhalt?;knowledge-base;Handwerk / Töpferei;12;75
SP-026;Surfers Pottery;Die große Teekanne mit 1,2 Litern: Wie teuer ist die?;knowledge-base;Handwerk / Töpferei;11;53
SP-027;Surfers Pottery;Die große Teekanne ist mir doch zu groß. Den Preis brauche ich nicht mehr, und bestellen möchte ich auch nichts. Lassen wir die Anfrage bitte fallen.;none;Handwerk / Töpferei;26;149
SP-028;Surfers Pottery;Welche Farbe hat Ihre Glasur Deep Water?;knowledge-base;Handwerk / Töpferei;7;40
SP-029;Surfers Pottery;Deep Water gefällt mir, weitere Angaben brauche ich nicht.;none;Handwerk / Töpferei;9;58
SP-030;Surfers Pottery;Bei den Glasuren bin ich über den Namen Deep Water gestolpert. Daraus kann ich mir den Farbton nicht recht vorstellen. Beschreiben Sie mir bitte die Farbe und die Oberfläche.;knowledge-base;Handwerk / Töpferei;29;174
SP-031;Surfers Pottery;Das Moonlight-Porzellan-Angebot klingt interessant, aber ehrlich gesagt hab ich grad sowieso keine Zeit für sowas.;none;Handwerk / Töpferei;15;114
SP-032;Surfers Pottery;Das Moonlight-Porzellan klingt interessant. Ich habe bisher keinen Ihrer Drehkurse absolviert. Gibt es dafür eine Voraussetzung, oder kann ich dieses Material gleich bei meinem ersten Besuch verwenden?;knowledge-base;Handwerk / Töpferei;27;201
SP-033;Surfers Pottery;Bei Moonlight-Porzellan: Muss ich dafür schon einen bestimmten Drehkurs bei Ihnen absolviert haben?;knowledge-base;Handwerk / Töpferei;13;99
SP-034;Surfers Pottery;Sind bei der Tageskarte fürs offene Studio Werkzeug und Brände schon im Preis enthalten?;knowledge-base;Handwerk / Töpferei;14;88
SP-035;Surfers Pottery;Was beinhaltet die Tageskarte fürs offene Studio?;knowledge-base;Handwerk / Töpferei;7;49
SP-036;Surfers Pottery;Die Tageskarte ist vorerst kein Thema mehr für mich.;none;Handwerk / Töpferei;9;52
SP-037;Surfers Pottery;Wie viele Leute passen an die Big-Wave-Gruppentafel?;knowledge-base;Handwerk / Töpferei;7;52
SP-038;Surfers Pottery;Unsere Gruppe kommt nun doch nicht zustande. Wie viele Plätze Big Wave hat, brauche ich deshalb nicht mehr zu wissen. Eine Buchung war ohnehin noch nicht geplant.;none;Handwerk / Töpferei;27;162
SP-039;Surfers Pottery;Wir überlegen, ob Ihre Gruppentafel für uns groß genug wäre. Wie viele Plätze hat Big Wave, und ab welcher Personenzahl kann man sie nutzen?;knowledge-base;Handwerk / Töpferei;24;140
SP-040;Surfers Pottery;Die Tür ist offen, die Weiterleitung hat sich erledigt.;none;Handwerk / Töpferei;9;55
SP-041;Surfers Pottery;Wir stehen vor dem Studio, unser Kurs soll gleich anfangen, und niemand öffnet. Bitte holen Sie jemanden vor Ort ans Telefon, damit wir jetzt hineinkommen können.;forwarding;Handwerk / Töpferei;26;162
SP-042;Surfers Pottery;Wir kommen nicht rein, Kursstart jetzt. Ich will mit Andreas sprechen.;forwarding;Handwerk / Töpferei;11;70
SP-043;Surfers Pottery;Unsere Kursleitung ist mitten im Kurs ausgefallen. Wir brauchen sofort jemanden, der jetzt die Betreuung organisiert.;forwarding;Handwerk / Töpferei;16;117
SP-044;Surfers Pottery;Mitten im laufenden Kurs ist unsere Dozentin kurzfristig ins Krankenhaus gemusst. Die Gruppe steht jetzt ohne Anleitung im Atelier.;forwarding;Handwerk / Töpferei;19;131
SP-045;Surfers Pottery;Die Kursleitung ist wieder da, und alle arbeiten weiter. ;none;Handwerk / Töpferei;9;57
SP-046;Surfers Pottery;Doppelbelegung beim Kursstart! Bitte sofort jemanden durchstellen.;forwarding;Handwerk / Töpferei;7;66
SP-047;Surfers Pottery;Wegen des Raums ist alles geklärt. Wir sitzen am richtigen Tisch, eine Verbindung ist unnötig.;none;Handwerk / Töpferei;15;94
SP-048;Surfers Pottery;Für unseren Gruppenbesuch ist gerade kein Platz, obwohl wir angemeldet sind. Wir brauchen eine Lösung schnell.;forwarding;Handwerk / Töpferei;16;110
SP-049;Surfers Pottery;Die Kartons wurden rechtzeitig getauscht. Alles geklärt.;none;Handwerk / Töpferei;7;56
SP-050;Surfers Pottery;Der Fahrer nimmt gerade die falsche Keramik mit. Wie kann ich ihn erreichen?;forwarding;Handwerk / Töpferei;13;76
SP-051;Surfers Pottery;Unser Spediteur lädt gerade die Ware für einen anderen Kunden auf den LKW. Können Sie mich sofort mit dem Versand verbinden?;forwarding;Handwerk / Töpferei;21;124
SP-052;Surfers Pottery;Mit dem Material stehe ich vor Ihrer verschlossenen Zufahrt und kann nicht länger warten. Meine nächste Lieferung ist schon überfällig.;forwarding;Handwerk / Töpferei;20;135
SP-053;Surfers Pottery;Anlieferung blockiert, Zufahrt verschlossen. Bitte sofort jemanden verbinden.;forwarding;Handwerk / Töpferei;8;77
